ngram,rank,freq,cumshare
удалось,538,2120521,0.448
взял,539,2119796,0.448
роль,540,2118891,0.448
новые,541,2115420,0.448
решения,542,2115196,0.448
речь,543,2111056,0.448
столь,544,2110737,0.449
период,545,2105996,0.449
слов,546,2089178,0.449
закона,547,2085793,0.449
мужчина,548,2066397,0.449
вовсе,549,2066114,0.449
доме,550,2065989,0.449
группы,551,2062113,0.450
часов,552,2056011,0.450
трех,553,2055364,0.450
проблемы,554,2051637,0.450
сын,555,2050461,0.450
виду,556,2042952,0.450
хочешь,557,2041658,0.450
другого,558,2038962,0.451
стать,559,2037092,0.451
думал,560,2023543,0.451
другим,561,2009327,0.451
одном,562,2008752,0.451
тысяч,563,2001815,0.451
ладно,564,2001363,0.451
вышел,565,1999101,0.452
ту,566,1995407,0.452
счет,567,1988234,0.452
другом,568,1984933,0.452
завтра,569,1983606,0.452
государства,570,1980589,0.452
пришел,571,1968294,0.452
идти,572,1966632,0.452
работе,573,1965661,0.453
любой,574,1958632,0.453
го,575,1956808,0.453
результате,576,1951879,0.453
подумал,577,1951142,0.453
иметь,578,1950946,0.453
голове,579,1950342,0.453
информации,580,1949372,0.454
многих,581,1948055,0.454
книги,582,1947944,0.454
лиц,583,1947743,0.454
одновременно,584,1947032,0.454
каждого,585,1944861,0.454
невозможно,586,1942499,0.454
точки,587,1940861,0.454
последний,588,1939409,0.455
известно,589,1935667,0.455
ради,590,1932811,0.455
работа,591,1932110,0.455
какая,592,1931537,0.455
бога,593,1927660,0.455
пару,594,1925641,0.455
видеть,595,1924839,0.456
произнес,596,1922000,0.456
души,597,1921316,0.456
очередь,598,1917843,0.456
говоря,599,1910023,0.456
хочет,600,1904112,0.456
никаких,601,1898021,0.456
пошел,602,1897214,0.456
компании,603,1893511,0.457
никак,604,1893233,0.457
находится,605,1891936,0.457
конца,606,1890349,0.457
дать,607,1888526,0.457
вниз,608,1887879,0.457
десять,609,1885135,0.457
глазах,610,1884207,0.457
кстати,611,1883308,0.458
взять,612,1882046,0.458
вскоре,613,1880056,0.458
спокойно,614,1878139,0.458
положение,615,1876134,0.458
помощи,616,1872945,0.458
моих,617,1871446,0.458
степени,618,1870024,0.458
мою,619,1865697,0.459
труда,620,1864712,0.459
государственной,621,1863152,0.459
стол,622,1862543,0.459
разных,623,1860009,0.459
становится,624,1857322,0.459
оказался,625,1844867,0.459
другое,626,1843072,0.460
благодаря,627,1842759,0.460
вещи,628,1836791,0.460
твой,629,1827439,0.460
час,630,1820980,0.460
оба,631,1820327,0.460
самых,632,1819837,0.460
ясно,633,1811247,0.460
давай,634,1806192,0.460
кому,635,1804293,0.461
первого,636,1803023,0.461
практически,637,1801616,0.461
процесс,638,1795962,0.461
плохо,639,1794535,0.461
случилось,640,1794113,0.461
можете,641,1793588,0.461
условиях,642,1792681,0.461
трудно,643,1792584,0.462
века,644,1790870,0.462
сквозь,645,1790862,0.462
спасибо,646,1789427,0.462
бывает,647,1788831,0.462
отношении,648,1784611,0.462
согласно,649,1784585,0.462
внимания,650,1782511,0.462
понимаю,651,1782109,0.463
важно,652,1776463,0.463
однажды,653,1776120,0.463
кивнул,654,1770689,0.463
зрения,655,1770164,0.463
оказалось,656,1764175,0.463
формы,657,1757088,0.463
работать,658,1755328,0.463
ваш,659,1749484,0.464
рода,660,1744630,0.464
имеют,661,1744549,0.464
далее,662,1743796,0.464
крови,663,1741071,0.464
похоже,664,1740608,0.464
молодой,665,1740159,0.464
утром,666,1740051,0.464
явно,667,1739615,0.464
армии,668,1739024,0.465
гораздо,669,1738709,0.465
ответила,670,1737436,0.465
двадцать,671,1736885,0.465
СССР,672,1735630,0.465
новых,673,1734940,0.465
последние,674,1734642,0.465
состоянии,675,1732486,0.465
нового,676,1732356,0.466
самые,677,1730886,0.466
сына,678,1726444,0.466
комнату,679,1724994,0.466
форме,680,1722067,0.466
суда,681,1719754,0.466
язык,682,1719553,0.466
настолько,683,1718243,0.466
помощь,684,1714763,0.466
сих,685,1714409,0.467
состояние,686,1714248,0.467
смерть,687,1712089,0.467
матери,688,1711989,0.467
движения,689,1706834,0.467
всему,690,1706806,0.467
смотрел,691,1706473,0.467
взглядом,692,1705529,0.467
впервые,693,1704636,0.468
использовать,694,1699795,0.468
история,695,1692564,0.468
система,696,1690792,0.468
разговор,697,1687258,0.468
народ,698,1683262,0.468
резко,699,1681771,0.468
знаете,700,1680506,0.468
основе,701,1679865,0.468
получить,702,1679681,0.469
число,703,1678368,0.469
знала,704,1677706,0.469
жена,705,1670875,0.469
волосы,706,1670592,0.469
пол,707,1670422,0.469
человеком,708,1663854,0.469
глядя,709,1661010,0.469
цели,710,1656566,0.469
таком,711,1655741,0.470
всеми,712,1655400,0.470
света,713,1652510,0.470
солнце,714,1650399,0.470
правильно,715,1649797,0.470
федерального,716,1649449,0.470
существует,717,1649379,0.470
де,718,1648594,0.470
имени,719,1641955,0.470
ваше,720,1640384,0.471
данных,721,1633889,0.471
мимо,722,1632067,0.471
где-то,723,1631743,0.471
новой,724,1631681,0.471
различных,725,1618750,0.471
хотела,726,1618727,0.471
помочь,727,1618574,0.471
воду,728,1617104,0.471
другими,729,1616625,0.472
къ,730,1616135,0.472
дни,731,1615374,0.472
никого,732,1614469,0.472
территории,733,1614189,0.472
думать,734,1613115,0.472
видимо,735,1611603,0.472
раза,736,1611287,0.472
ситуации,737,1611194,0.472
которому,738,1610399,0.473
произошло,739,1610127,0.473
минуту,740,1609992,0.473
наша,741,1608066,0.473
средства,742,1607766,0.473
первым,743,1603126,0.473
станет,744,1601850,0.473
обязательно,745,1601713,0.473
кровь,746,1601565,0.473
лицом,747,1586393,0.474
типа,748,1584219,0.474
поле,749,1578555,0.474
неожиданно,750,1577650,0.474
статьи,751,1577604,0.474
чаще,752,1576445,0.474
такую,753,1574674,0.474
случаях,754,1573715,0.474
ночью,755,1573354,0.474
возле,756,1571392,0.475
получил,757,1562034,0.475
людям,758,1562009,0.475
срок,759,1561071,0.475
развитие,760,1560562,0.475
головы,761,1559543,0.475
часа,762,1559388,0.475
интересно,763,1558704,0.475
успел,764,1554658,0.475
отсюда,765,1554061,0.475
случай,766,1553445,0.476
общем,767,1552789,0.476
вечером,768,1551598,0.476
обратно,769,1550991,0.476
зато,770,1548688,0.476
закон,771,1546670,0.476
словами,772,1545637,0.476
образования,773,1545508,0.476
путем,774,1545171,0.476
власть,775,1544622,0.477
улыбнулся,776,1540723,0.477
безопасности,777,1540440,0.477
осталось,778,1540072,0.477
порядок,779,1539189,0.477
производства,780,1538863,0.477
церкви,781,1538096,0.477
говорю,782,1537091,0.477
понятно,783,1537029,0.477
парень,784,1534735,0.477
слегка,785,1534252,0.478
характер,786,1533866,0.478
письмо,787,1533534,0.478
никакого,788,1531977,0.478
говорили,789,1528295,0.478
стены,790,1526775,0.478
США,791,1523618,0.478
вижу,792,1522553,0.478
море,793,1519985,0.478
некоторых,794,1518943,0.479
дал,795,1516148,0.479
поняла,796,1515584,0.479
какое,797,1512001,0.479
князь,798,1510012,0.479
дает,799,1508808,0.479
правило,800,1508579,0.479
книга,801,1508454,0.479
уровень,802,1507259,0.479
подошел,803,1505226,0.479
могло,804,1502749,0.480
населения,805,1498569,0.480
органов,806,1498148,0.480
начале,807,1493038,0.480
вверх,808,1491384,0.480
машины,809,1491200,0.480
комнате,810,1490475,0.480
насколько,811,1489131,0.480
нескольких,812,1487013,0.480
брат,813,1483082,0.480
людьми,814,1482540,0.481
каким,815,1482434,0.481
груди,816,1481375,0.481
какъ,817,1480405,0.481
сидел,818,1480261,0.481
дел,819,1479848,0.481
смысле,820,1478812,0.481
свете,821,1478645,0.481
чувство,822,1476560,0.481
ниже,823,1470991,0.481
дочь,824,1468489,0.482
разные,825,1463115,0.482
готов,826,1462290,0.482
вчера,827,1457516,0.482
городе,828,1456212,0.482
можешь,829,1454930,0.482
неужели,830,1454742,0.482
имел,831,1454562,0.482
остается,832,1453473,0.482
капитан,833,1450468,0.482
следующий,834,1449820,0.483
каждой,835,1442986,0.483
действий,836,1442146,0.483
народа,837,1434733,0.483
лице,838,1434287,0.483
ваши,839,1433696,0.483
вернулся,840,1430339,0.483
ночи,841,1430289,0.483
первые,842,1429820,0.483
можем,843,1424119,0.483
культуры,844,1422775,0.484
ребенок,845,1422250,0.484
первую,846,1422091,0.484
будешь,847,1420693,0.484
окна,848,1418544,0.484
значения,849,1418347,0.484
делает,850,1416910,0.484
номер,851,1413673,0.484
условия,852,1412564,0.484
воздух,853,1412360,0.484
узнать,854,1412151,0.484
связь,855,1412031,0.485
семьи,856,1411290,0.485
напротив,857,1411159,0.485
принять,858,1409521,0.485
кем,859,1405239,0.485
деятельность,860,1403210,0.485
женщин,861,1402286,0.485
голосом,862,1400989,0.485
рук,863,1400589,0.485
нашел,864,1400415,0.485
смысл,865,1398901,0.486
постепенно,866,1395698,0.486
продолжал,867,1392517,0.486
смотреть,868,1391537,0.486
изменения,869,1390714,0.486
остальные,870,1389185,0.486
относительно,871,1388427,0.486
губы,872,1387259,0.486
движение,873,1385777,0.486
изъ,874,1385186,0.486
помню,875,1384212,0.486
двумя,876,1383808,0.487
увидеть,877,1383113,0.487
голова,878,1377628,0.487
примерно,879,1376781,0.487
вода,880,1372882,0.487
начало,881,1372363,0.487
конец,882,1366704,0.487
разумеется,883,1364038,0.487
ими,884,1363411,0.487
небо,885,1362827,0.487
отношений,886,1362244,0.488
чувства,887,1362003,0.488
мужчины,888,1361227,0.488
господин,889,1358879,0.488
стране,890,1357611,0.488
генерал,891,1357575,0.488
позволяет,892,1355384,0.488
видела,893,1352585,0.488
способ,894,1352365,0.488
люблю,895,1351997,0.488
суд,896,1347716,0.488
Москве,897,1347336,0.489
начали,898,1346092,0.489
боль,899,1345852,0.489
дороге,900,1343943,0.489
наше,901,1343713,0.489
другу,902,1341965,0.489
человеку,903,1340898,0.489
прекрасно,904,1339615,0.489
ред,905,1337272,0.489
хотите,906,1333650,0.489
ждать,907,1333180,0.489
твоя,908,1329946,0.490
цель,909,1327745,0.490
чем-то,910,1327132,0.490
рот,911,1326074,0.490
чему,912,1324779,0.490
данные,913,1323753,0.490
вашей,914,1322765,0.490
желание,915,1322460,0.490
первая,916,1320703,0.490
вероятно,917,1320658,0.490
крайней,918,1319489,0.490
рублей,919,1318484,0.491
искать,920,1314825,0.491
моему,921,1314228,0.491
работ,922,1313535,0.491
шаг,923,1311503,0.491
странно,924,1310387,0.491
которыми,925,1310342,0.491
нечто,926,1309377,0.491
план,927,1308810,0.491
муж,928,1307679,0.491
целью,929,1307040,0.491
