ngram,rank,freq,cumshare
reading,714,31624138,0.532
west,715,31606608,0.532
forward,716,31605032,0.532
pressure,717,31601872,0.532
mouth,718,31589435,0.532
military,719,31496713,0.532
create,720,31493122,0.533
medical,721,31483015,0.533
legal,722,31474551,0.533
application,723,31394902,0.533
organization,724,31306236,0.533
bit,725,31277508,0.533
loss,726,31270675,0.533
context,727,31237637,0.533
behavior,728,31213978,0.533
team,729,31173773,0.534
foreign,730,31154722,0.534
wall,731,31123617,0.534
forms,732,31103452,0.534
works,733,30952533,0.534
meet,734,30926648,0.534
rule,735,30925898,0.534
happened,736,30925319,0.534
effective,737,30776210,0.535
events,738,30749485,0.535
whom,739,30708337,0.535
complex,740,30696427,0.535
met,741,30639648,0.535
product,742,30625828,0.535
issue,743,30565625,0.535
reached,744,30489457,0.535
walked,745,30435893,0.535
points,746,30297789,0.536
impact,747,30236533,0.536
added,748,30205195,0.536
follow,749,30130440,0.536
sent,750,30064879,0.536
rules,751,30025159,0.536
lives,752,30017028,0.536
influence,753,29976368,0.536
cut,754,29935805,0.536
green,755,29914361,0.537
expression,756,29883207,0.537
earlier,757,29860643,0.537
media,758,29843833,0.537
generally,759,29779876,0.537
floor,760,29725724,0.537
individuals,761,29710671,0.537
purpose,762,29708594,0.537
pay,763,29670564,0.537
ten,764,29658423,0.538
America,765,29656553,0.538
stay,766,29619818,0.538
final,767,29610101,0.538
comes,768,29552761,0.538
types,769,29530437,0.538
wrong,770,29529840,0.538
complete,771,29499036,0.538
ready,772,29487870,0.538
normal,773,29458476,0.539
basis,774,29450231,0.539
list,775,29426012,0.539
presence,776,29423492,0.539
stage,777,29417884,0.539
critical,778,29265682,0.539
twenty,779,29257705,0.539
seem,780,29230227,0.539
French,781,29215693,0.539
difference,782,29190285,0.540
meaning,783,29171457,0.540
anyone,784,29157535,0.540
sea,785,29055227,0.540
saying,786,28966272,0.540
cold,787,28942566,0.540
basic,788,28829785,0.540
direct,789,28826727,0.540
beginning,790,28822252,0.540
received,791,28809432,0.541
week,792,28681181,0.541
fear,793,28603517,0.541
expected,794,28592757,0.541
price,795,28571072,0.541
cross,796,28527534,0.541
capital,797,28461999,0.541
police,798,28435717,0.541
China,799,28411918,0.541
respect,800,28408599,0.542
spirit,801,28371338,0.542
clearly,802,28314339,0.542
fine,803,28276136,0.542
president,804,28233917,0.542
opened,805,28218149,0.542
religious,806,28180205,0.542
east,807,28149121,0.542
limited,808,28146632,0.542
