ngram,freq,share,cumshare,rank
valeur,5292573,0.0002,0.634,450
jeunes,5286862,0.0002,0.6342,451
moyen,5275071,0.0002,0.6344,452
type,5274702,0.0002,0.6346,453
sait,5271355,0.0002,0.6347,454
lequel,5258479,0.0002,0.6349,455
ait,5240042,0.0002,0.6351,456
fonction,5235634,0.0002,0.6353,457
eut,5234113,0.0002,0.6355,458
crois,5228518,0.0002,0.6356,459
celles,5219577,0.0002,0.6358,460
chef,5213385,0.0002,0.636,461
laisser,5206984,0.0002,0.6362,462
intérieur,5195187,0.0002,0.6364,463
lit,5190363,0.0002,0.6366,464
mouvement,5172416,0.0002,0.6367,465
certaines,5171447,0.0002,0.6369,466
âge,5164507,0.0002,0.6371,467
dû,5135700,0.0002,0.6373,468
sang,5129664,0.0002,0.6375,469
route,5128150,0.0002,0.6376,470
lumière,5077398,0.0002,0.6378,471
petits,5075834,0.0002,0.638,472
états,5067199,0.0002,0.6382,473
projet,5066948,0.0002,0.6383,474
figure,5046986,0.0002,0.6385,475
cour,5028396,0.0002,0.6387,476
attention,5014103,0.0002,0.6389,477
salle,5004138,0.0002,0.639,478
beau,4994864,0.0002,0.6392,479
aide,4990352,0.0002,0.6394,480
nouvelles,4990054,0.0002,0.6396,481
image,4973292,0.0002,0.6397,482
envie,4969789,0.0002,0.6399,483
quelqu',4940725,0.0002,0.6401,484
argent,4933513,0.0002,0.6402,485
texte,4913211,0.0002,0.6404,486
bois,4910929,0.0002,0.6406,487
chemin,4898914,0.0002,0.6408,488
problème,4882550,0.0002,0.6409,489
titre,4874696,0.0002,0.6411,490
vivre,4828941,0.0002,0.6413,491
cadre,4821684,0.0002,0.6414,492
langue,4815966,0.0002,0.6416,493
intérêt,4805128,0.0002,0.6418,494
etc,4804944,0.0002,0.6419,495
droits,4804698,0.0002,0.6421,496
conditions,4793699,0.0002,0.6423,497
silence,4791415,0.0002,0.6424,498
école,4787935,0.0002,0.6426,499
entrée,4779197,0.0002,0.6428,500
feu,4759617,0.0002,0.6429,501
terme,4755503,0.0002,0.6431,502
voulait,4748920,0.0002,0.6433,503
questions,4732533,0.0002,0.6434,504
conscience,4728547,0.0002,0.6436,505
direction,4727860,0.0002,0.6438,506
vieux,4701230,0.0002,0.6439,507
marché,4696874,0.0002,0.6441,508
œil,4687540,0.0002,0.6443,509
sociale,4681230,0.0002,0.6444,510
prise,4672098,0.0002,0.6446,511
pensée,4668747,0.0002,0.6447,512
frère,4653663,0.0002,0.6449,513
liberté,4633722,0.0002,0.6451,514
nord,4632314,0.0002,0.6452,515
genre,4624685,0.0002,0.6454,516
lettre,4616389,0.0002,0.6456,517
vingt,4591174,0.0002,0.6457,518
française,4590937,0.0002,0.6459,519
venir,4585788,0.0002,0.646,520
pièce,4576505,0.0002,0.6462,521
vérité,4576151,0.0002,0.6464,522
accord,4575898,0.0002,0.6465,523
ami,4573241,0.0002,0.6467,524
membres,4572204,0.0002,0.6468,525
ciel,4568113,0.0002,0.647,526
ouvert,4567460,0.0002,0.6471,527
maître,4566120,0.0002,0.6473,528
nombreux,4560761,0.0002,0.6475,529
compris,4558658,0.0002,0.6476,530
plaisir,4556870,0.0002,0.6478,531
politiques,4547852,0.0002,0.6479,532
origine,4523187,0.0002,0.6481,533
pense,4508747,0.0002,0.6483,534
soleil,4507567,0.0002,0.6484,535
train,4500649,0.0002,0.6486,536
pied,4487493,0.0002,0.6487,537
soi,4482979,0.0002,0.6489,538
aime,4479661,0.0002,0.649,539
écrit,4467443,0.0002,0.6492,540
amis,4467121,0.0002,0.6494,541
minutes,4461369,0.0002,0.6495,542
expérience,4453267,0.0002,0.6497,543
sud,4427729,0.0002,0.6498,544
église,4418972,0.0002,0.65,545
principe,4410837,0.0002,0.6501,546
existence,4406794,0.0002,0.6503,547
activité,4400843,0.0002,0.6504,548
quant,4384364,0.0002,0.6506,549
existe,4377998,0.0002,0.6507,550
sol,4377586,0.0002,0.6509,551
particulier,4375566,0.0002,0.651,552
auteur,4368829,0.0002,0.6512,553
bouche,4368556,0.0002,0.6513,554
président,4356139,0.0002,0.6515,555
voiture,4352683,0.0002,0.6516,556
gouvernement,4338591,0.0002,0.6518,557
penser,4328316,0.0002,0.652,558
réponse,4323912,0.0002,0.6521,559
propos,4322499,0.0002,0.6523,560
matière,4310871,0.0002,0.6524,561
pratique,4307592,0.0002,0.6526,562
certain,4301528,0.0001,0.6527,563
âme,4292216,0.0001,0.6529,564
base,4291014,0.0001,0.653,565
risque,4282189,0.0001,0.6532,566
affaires,4270356,0.0001,0.6533,567
affaire,4264297,0.0001,0.6534,568
savait,4232608,0.0001,0.6536,569
grandes,4227655,0.0001,0.6537,570
gauche,4209236,0.0001,0.6539,571
fais,4208394,0.0001,0.654,572
qualité,4204061,0.0001,0.6542,573
prend,4196859,0.0001,0.6543,574
cheveux,4174381,0.0001,0.6545,575
processus,4166523,0.0001,0.6546,576
seconde,4164238,0.0001,0.6548,577
simplement,4154749,0.0001,0.6549,578
parle,4154328,0.0001,0.6551,579
noir,4137232,0.0001,0.6552,580
contraire,4127756,0.0001,0.6553,581
venait,4108231,0.0001,0.6555,582
relation,4103444,0.0001,0.6556,583
